Name of Restaurant,Address,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Sri Amma Mess," 102, VGP Srinivasa Nagar, Madambakkam Main Road, Selaiyur, Chennai",Selaiyur,"['South Indian', ' Chinese', ' Beverages', ' Chettinad']",Invalid,250.0,3.1,26,3.7,504,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Best Biriyani," 31/3, Kutchery Road, Mylapore, Chennai",Mylapore,"['Biryani', ' Chinese', ' North Indian', ' South Indian']",Invalid,450.0,3.1,27,4.3,377,"['Home Delivery', 'Indoor Seating']"
Fire Wood Biryani," 1, Ground Floor, Raj Kumar Regency, By Pass Road, Opposite Gurunanak College, Velachery, Chennai",Velachery,"['Biryani', ' North Indian', ' Momos']",Invalid,400.0,2.7,26,4.0,188,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Thallu Vandi," Metro Super Market, Perumbakkam Main Road, Medavakkam, Chennai",Medavakkam,"['South Indian', ' North Indian', ' Chinese', ' Biryani']",Invalid,550.0,3.5,40,3.3,1377,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']"
Lassi Cream," 10/11, Loganathan Colony, Chennai City Center, Dr. Radha Krishnan Salai, Mylapore, Chennai","Chennai Citi Centre, Mylapore","['Beverages', ' Ice Cream']",Invalid,200.0,3.4,30,3.8,1054,"['Home Delivery', 'Outdoor Seating']"
Hotel Pandiyan," 49, By-Pass Road, Omsakthi Nagar, Vanagaram, Porur, Chennai",Porur,['South Indian'],Invalid,500.0,3.2,40,3.6,2419,"['Home Delivery', 'Indoor Seating']"
Devasahayam Pillai Enterprises," 320, Sardar Vallabhai Patel, Mettu Street, Mannivakkam, Kattankulathur, Adyar, Chennai",Adyar,['South Indian'],Invalid,100.0,3.5,35,3.7,48,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Grand Multi-Cuisine Restaurant," 233, Velachery Main Road, Velachery, Chennai",Velachery,"['South Indian', ' Chinese', ' North Indian']",Invalid,800.0,3.6,37,4.0,508,"['Home Delivery', 'Free Parking', 'Buffet', 'Indoor Seating']"
Indorewala," 92, Old Mahabalipuram Road, Near AGS Cinemas, Navalur, Sholinganallur, Chennai",Sholinganallur,"['North Indian', ' Street Food']",Invalid,300.0,3.7,35,3.6,103,"['Home Delivery', 'Outdoor Seating']"
Takkaru Biriyani," Kovalam Road, Mahabalipuram, Chennai",Mahabalipuram,"['Chettinad', ' Biryani', ' Chinese']",Invalid,550.0,3.5,31,3.2,534,"['Home Delivery', 'Indoor Seating']"
Karthikeya Authentic Andhra Restaurant," 9, MGR Salai, Kandanchavadi, Perungudi, Chennai",Perungudi,"['North Indian', ' South Indian', ' Biryani', ' Chinese']",Invalid,400.0,3.7,35,3.9,56,"['Home Delivery', 'Indoor Seating']"
Alagar Restaurant," 23, Rajiv Gandhi Salai, Sholinganallur, Chennai",Sholinganallur,"['South Indian', ' Biryani', ' Chinese', ' Street Food']",Invalid,400.0,3.7,31,3.9,152,"['Home Delivery', 'Indoor Seating']"
Lassi House Ice House," 51, T.P Koil Street, Dr. Besant Road, Triplicane, Chennai",Triplicane,"['Beverages', ' Desserts']",Invalid,200.0,2.7,27,3.9,1037,"['Home Delivery', 'Outdoor Seating']"
Sultan Biryani," 45/91, Medavakkkam Main Road, Madipakkam, Chennai",Madipakkam,"['Biryani', ' Fast Food', ' Chinese']",Invalid,400.0,3.6,17,3.6,345,"['Home Delivery', 'Indoor Seating']"
